City_ID,City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
530,530,Altay,CN,10.83,clear sky,47.8667,88.1167,Jinqiao Hotel
531,531,Novoseleznevo,RU,15.24,overcast clouds,55.6821,69.2056,Uyutnaya
533,533,Dumas,US,36.0,clear sky,35.8656,-101.9732,Holiday Inn Express & Suites Dumas
534,534,Paamiut,GL,24.55,broken clouds,61.994,-49.6678,Yeet Hotel
535,535,Mount Gambier,AU,50.0,overcast clouds,-37.8333,140.7667,Commodore on the Park
536,536,Qui Nhon,VN,68.95,light rain,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
537,537,Northam,GB,48.99,broken clouds,51.0333,-4.2167,Durrant House Hotel
539,539,San Quintin,MX,58.98,clear sky,30.4833,-115.95,Old Mill Hotel
541,541,Sault Sainte Marie,CA,33.8,light snow,46.5168,-84.3333,Comfort Inn
542,542,Lunenburg,CA,35.01,overcast clouds,44.3835,-64.3155,Lunenburg Arms Hotel
543,543,Hirara,JP,64.83,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
545,545,Iwata,JP,46.0,overcast clouds,34.7,137.85,Kuretakeiniwata
546,546,Antiguo Morelos,MX,55.0,scattered clouds,22.5495,-99.0812,Iglesia La luz del mundo columna y apoyo de la verdad. Batallón antiguo morelos
551,551,Landerneau,FR,48.2,broken clouds,48.4525,-4.2525,Le Clos Du Pontic
553,553,Owensboro,US,34.0,overcast clouds,37.7742,-87.1133,Courtyard by Marriott Owensboro
554,554,Maketu,NZ,61.0,clear sky,-37.7667,176.45,Maketu Beach Holiday Park
555,555,Caohai,CN,27.91,snow,26.8661,104.2841,Jinhua Hotel
559,559,Lindau,DE,28.4,broken clouds,47.55,9.6833,Hotel Reutemann-Seegarten
560,560,Guzelyurt,TR,37.4,broken clouds,38.2772,34.3719,Cappadocia Ihlara Mansions
563,563,Raudeberg,NO,32.0,scattered clouds,61.9875,5.1352,Nordre Silda.
564,564,Flin Flon,CA,12.2,broken clouds,54.7682,-101.865,Victoria Inn Flin Flon
565,565,Praia Da Vitoria,PT,63.0,few clouds,38.7333,-27.0667,Hotel Branco I
566,566,Kalaleh,IR,50.0,clear sky,37.3807,55.4916,عطر و ادکلن پارسیس
568,568,Shishou,CN,43.5,overcast clouds,29.7226,112.419,Chuyuan Hotel
569,569,Howell,US,30.2,overcast clouds,42.6073,-83.9294,Kensington Inn
575,575,Kuryk,KZ,39.56,broken clouds,43.2,51.65,Gostinitsa Kuryk - Otel' Dlya Vsekh Kategoriy Kliyentov .
576,576,North Myrtle Beach,US,48.0,clear sky,33.816,-78.68,Avista Resort
577,577,Waterloo,CA,32.0,overcast clouds,43.4668,-80.5164,Comfort Inn
584,584,Quba,AZ,37.42,overcast clouds,41.3626,48.5152,Quba Palace Hotel
585,585,Ismailia,EG,65.88,scattered clouds,30.6043,32.2723,Mercure Ismailia Forsan Island Hotel
586,586,Kosa,RU,6.94,snow,59.9445,54.9977,Gostinitsa V Kose
587,587,Lincoln,US,26.01,few clouds,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
588,588,Waiouru,NZ,52.05,overcast clouds,-39.4833,175.6667,Tāwhiri
591,591,Fershampenuaz,RU,18.14,clear sky,53.5202,59.8117,Zavod' Na Gumbeyke
